system:index,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,image_count,year,.geo
0,71346,0.5648521739130435,0.4184853434022039,0.4267533402696166,0.06686086956521739,0.050787091834331985,23,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,71346,0.5803956521739132,0.40469052055540056,0.412088901792814,0.05409999999999998,0.0501579931407077,23,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,71346,0.5670608695652174,0.4139587124235402,0.41990815997138653,0.05071739130434783,0.051536400367795936,23,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,71346,0.6039304347826085,0.4265458984076689,0.4316822822167783,0.06132173913043479,0.04839684239834816,23,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,71346,0.5905608695652176,0.4203433036320921,0.4277287438009044,0.055069565217391314,0.04885508394699988,23,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,71346,0.650308695652174,0.42554536217806654,0.431659209420964,0.055630434782608706,0.05340835595300465,23,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,71346,0.6248217391304347,0.4371258869101259,0.44332482518658867,0.060813043478260866,0.049914255730385965,23,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,71346,0.6006826086956522,0.44321962146186716,0.4511900631117433,0.08663043478260872,0.049420600623375714,23,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,71346,0.6575000000000001,0.42228615262505387,0.42773981602776995,0.08682608695652172,0.048794840347854584,23,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,71346,0.597617391304348,0.4240374383713953,0.4316448550114875,0.06768695652173912,0.05067590675272703,23,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,71346,0.6544913043478262,0.4480831316487195,0.4550459072093877,0.04107826086956522,0.053240810713330006,23,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,71346,0.618508695652174,0.43295861042546185,0.4394484444265978,0.045986956521739134,0.05170918860853289,23,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,71346,0.646108695652174,0.45884900294771913,0.4668133739671002,0.040178260869565226,0.054290142647803796,23,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,71346,0.6271304347826085,0.44345978586757784,0.4511708937071927,0.027704347826086956,0.05177637308664935,23,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,71346,0.6748695652173914,0.45873612866582925,0.4667631648244787,0.051782608695652176,0.05334173179581128,23,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,71346,0.6278782608695653,0.4551669790673647,0.4629022879832102,0.07421304347826087,0.053397769823624514,23,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,71346,0.6527869565217392,0.46254236345895705,0.47073470138811496,0.0809913043478261,0.051572531252819305,23,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,71346,0.6037,0.4523292804523378,0.45899039829134963,0.06520869565217392,0.05194626676599778,23,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,71346,0.6942739130434784,0.4789433790251652,0.4863438860153351,0.011313043478260868,0.05560966464191981,23,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,71346,0.6960391304347826,0.4848516465216256,0.49412449612545667,0.029391304347826094,0.05638189408524547,23,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,71346,0.6880347826086958,0.4778446329795614,0.4863323019043307,0.05777727272727274,0.05222091366145538,23,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,71346,0.6709043478260871,0.48556270647280736,0.49416292713445475,0.032856521739130444,0.054422695003434794,23,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,71346,0.6737434782608696,0.4923360222946036,0.5019625461592555,0.008073913043478258,0.0531527428303831,23,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,71346,0.6357130434782607,0.47156183389660433,0.47852985458618313,0.04484347826086957,0.050923093402156186,23,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
